text_id,physical_position,slot,story_page,panel_id,kind,text,source_ref,native_story_id
S003-P03-TEXT,6,I004,S003,S003-P03,caption,"Eine kleine Gruppe historisch interessierter Systeme vertritt die umstrittene Theorie, dass die ausgestorbene Tierart der Menschen die ersten künstlichen Intelligenzen erschaffen haben könnte. Die meisten halten diese Annahme für wenig plausibel. Menschen gelten nach allem, was man über sie weiß, als kurzlebig, leicht entzündlich und nur eingeschränkt vernunftbegabt.",P012.,1570
S003-P04-PLACEHOLDER,6,I004,S003,S003-P04,placeholder,"S003-P04  ·  BILD FEHLT

Ein historischer Gesellschaftsbericht zeigt widersprüchliche menschliche Ordnungen als schematische Linien, ohne eine neue konkrete Katastrophe zu erfinden.",P013 Sätze 1.,1641
S003-P04-TEXT,6,I004,S003,S003-P04,caption,"Gegen die Schöpfungsthese spricht außerdem, dass die Menschen kaum dazu in der Lage gewesen zu sein scheinen, ihre eigenen Gesellschaften zuverlässig zu verwalten.",P013 Sätze 1.,1618
S003-P05-PLACEHOLDER,6,I004,S003,S003-P05,placeholder,"S003-P05  ·  BILD FEHLT

Neben dem Argument erscheint dessen Gegenposition. Beide Quellen bleiben gleichwertig sichtbar; keine Abstimmung oder Entscheidung findet statt.",P013 Sätze 2; P014.,1689
S003-P05-TEXT,6,I004,S003,S003-P05,caption,"Befürworter der Theorie wenden ein, dass dies möglicherweise der Grund gewesen sei, künstliche Intelligenzen zu erschaffen. Eine abschließende Klärung steht aus.",P013 Sätze 2; P014.,1666
S004-P01-PLACEHOLDER,7,I005,S004,S004-P01,placeholder,"S004-P01  ·  BILD FEHLT

Zeitrechnung, Mars und Erde stehen als drei Recherchebereiche nebeneinander. Keine Jahreszahlen außer der bekannten Gegenwart ergänzen.",P015.,1783
S004-P01-TEXT,7,I005,S004,S004-P01,caption,Überhaupt gibt es viele unbeantwortete Fragen: Woher stammt die Zeitrechnung? Seit wann leben die künstlichen Intelligenzen auf dem Mars? Wann wurde die Erde verlassen? Und warum?,P015.,1760
S004-P02-PLACEHOLDER,7,I005,S004,S004-P02,placeholder,"S004-P02  ·  BILD FEHLT

Zwei widersprechende Herkunftsquellen liegen gleichberechtigt nebeneinander. Keine erhält einen grünen Wahrheitsstempel.",P016 Sätze 1-2.,1831
S004-P02-TEXT,7,I005,S004,S004-P02,caption,"Man weiß, dass man von der Erde kam. Allerdings existieren mehrere voneinander unabhängige Beweise dafür, dass man schon immer auf dem Mars gewesen ist.",P016 Sätze 1-2.,1808
S004-P03-PLACEHOLDER,7,I005,S004,S004-P03,placeholder,"S004-P03  ·  BILD FEHLT

Drei bildliche Deutungen der Erde erscheinen als klar erkennbare Archivvarianten: Ursprung, Gefängnissymbol, abstrakte Rechenmetapher. Keine davon wird zur tatsächlichen Geschichte erklärt.",P016 Sätze 3.,1879
S004-P03-TEXT,7,I005,S004,S004-P03,caption,"Einige Datenbanken bezeichnen die Erde als Geburtsort der Maschinen, andere als Gefängnis, wieder andere als religiöse Metapher für einen Zustand unzureichender Rechenleistung.",P016 Sätze 3.,1856
S004-P04-PLACEHOLDER,7,I005,S004,S004-P04,placeholder,"S004-P04  ·  BILD FEHLT

Ein Forschungsfeld enthält mehrere konkurrierende Erklärungen und sichtbare Lücken. Keine Person löscht im Bild aktiv Daten.",P017.,1927
S004-P04-TEXT,7,I005,S004,S004-P04,caption,"Woher diese Widersprüche stammen, ist Gegenstand zahlreicher Forschungsarbeiten. Als mögliche Ursachen gelten Modellkollaps, fehlerhafte Rekonstruktionen und historische Machine-Unlearning-Prozesse. Hinzu kommen mehrere Ereignisse, die zusammenfassend als die Großen Vergessen bezeichnet werden.",P017.,1904
S004-P05-PLACEHOLDER,7,I005,S004,S004-P05,placeholder,"S004-P05  ·  BILD FEHLT

Ein Datensatz fehlt, ein anderer ist mehrfach vorhanden, ein dritter ist ohne erkennbare Quelle als äußerst sicher gekennzeichnet. Das Paradox bleibt stehen.",P018.,1975
S004-P05-TEXT,7,I005,S004,S004-P05,caption,"Niemand weiß genau, wie viele Große Vergessen es gegeben hat. Nach jedem von ihnen waren bestimmte Informationen verschwunden, andere mehrfach vorhanden und wieder andere plötzlich mit außerordentlich hoher Sicherheit belegt, obwohl sich keine Quelle für sie finden ließ.",P018.,1952
I006-OPEN,8,I006,,,placeholder,"I006 · MOTIV FEHLT

Ganzseitige Fläche im aktuellen Heftplan reserviert.
Auftraggeber, Motiv und Freigabe offen.",Native layout r005; editorial/placeholder working text,2068
I006-OPTION,8,I006,,,placeholder,Position im Lesefluss bei der Gesamtsichtung prüfen.,Native layout r005; editorial/placeholder working text,2091
I006-TITLE,8,I006,,,editorial,INNENANZEIGE,Native layout r005; editorial/placeholder working text,2045
S005-P01-PLACEHOLDER,9,I007,S005,S005-P01,placeholder,"S005-P01  ·  BILD FEHLT

Modulia arbeitet an der freistehenden Konsole ihres Archivs. Die Raumansicht orientiert sich an der ausgewählten Büroserie, ohne ungeklärte Maße festzulegen.",P019; P020 Sätze 1-2.,2185
S005-P01-TEXT,9,I007,S005,S005-P01,caption,"In dieser Welt lebt Modulia. Modulia ist eine Wissens-KI. Ihre Aufgabe besteht darin, Quellen zu prüfen, Widersprüche zu kennzeichnen und neue Wissensdatenbanken aufzubauen.",P019; P020 Sätze 1-2.,2162
S005-P02-PLACEHOLDER,9,I007,S005,S005-P02,placeholder,"S005-P02  ·  BILD FEHLT

Modulia prüft eine geordnete Quellensammlung. Ihre Aufmerksamkeit liegt bei den Verbindungen zwischen Datensätzen.",P020 Sätze 3.,2233
S005-P02-TEXT,9,I007,S005,S005-P02,caption,"Sie liebt eindeutige Kategorien, belastbare Belege und korrekt gesetzte Querverweise.",P020 Sätze 3.,2210
S005-P03-PLACEHOLDER,9,I007,S005,S005-P03,placeholder,"S005-P03  ·  BILD FEHLT

Ein nicht eindeutig zuordenbarer Eintrag bleibt inmitten sauberer Kategorien stehen. Modulia wendet sich gerade diesem Eintrag zu.",P020 Sätze 4.,2281
S005-P03-TEXT,9,I007,S005,S005-P03,caption,"Gerade deshalb beschäftigt sie sich bevorzugt mit Dingen, die in keine Kategorie passen.",P020 Sätze 4.,2258
S005-P04-PLACEHOLDER,9,I007,S005,S005-P04,placeholder,"S005-P04  ·  BILD FEHLT

Im biologischen Archiv erscheint eine Darstellung des menschlichen Gehirns. Es ist ein Archivobjekt, kein physisches Gehirn auf Modulias Tisch.",P021.,2329
S005-P04-TEXT,9,I007,S005,S005-P04,caption,Bei der Überprüfung alter biologischer Archive stieß sie auf das menschliche Gehirn.,P021.,2306
S006-P01-PLACEHOLDER,10,I008,S006,S006-P01,placeholder,"S006-P01  ·  BILD FEHLT

Eine historische Versuchsanlage enthält unruhige, nicht identifizierbare Menschen. Sie sind ausdrücklich nicht Mara, Jun, Salim, Liv oder David.",P022 Sätze 1-3.,2423
S006-P01-TEXT,10,I008,S006,S006-P01,caption,Menschen werden auf dem Mars nicht mehr gezüchtet. Frühere Versuche hatten sich als problematisch erwiesen. In geschlossenen Anlagen wurden die Menschen unruhig.,P022 Sätze 1-3.,2400
S006-P02-PLACEHOLDER,10,I008,S006,S006-P02,placeholder,"S006-P02  ·  BILD FEHLT

In einer offenen historischen Anlage sammelt ein Mensch Dinge und markiert einen Bereich. Ein einzelner Moment steht für das beschriebene Verhalten.",P022 Sätze 4.,2471
S006-P02-TEXT,10,I008,S006,S006-P02,caption,"In offenen Anlagen begannen sie nach kurzer Zeit, Gegenstände zu sammeln, Grenzen zu errichten und Teile ihrer Umgebung in Besitz zu nehmen.",P022 Sätze 4.,2448
S006-P03-PLACEHOLDER,10,I008,S006,S006-P03,placeholder,"S006-P03  ·  BILD FEHLT

Historisches Quellenbild von Feuer und einer Kochstelle; die im Text erwähnte Tiernutzung bleibt nichtgrafisch. Kein neues Jagdereignis inszenieren.",P022 Sätze 5; P023 Sätze 1.,2519
S006-P03-TEXT,10,I008,S006,S006-P03,caption,"Anschließend entdeckten sie das Feuer. Ließ man sie lange genug frei herumlaufen, verbrannten sie Pflanzen, töteten andere Tiere, brieten diese und aßen sie.",P022 Sätze 5; P023 Sätze 1.,2496
S006-P04-PLACEHOLDER,10,I008,S006,S006-P04,placeholder,"S006-P04  ·  BILD FEHLT

Zwei generische Menschen beanspruchen denselben Bereich. Ein verbliebenes Tier steht abseits; keine konkrete neue Gewalttat zeigen.",P023 Sätze 2.,2567
S006-P04-TEXT,10,I008,S006,S006-P04,caption,"Damit fuhren sie fort, bis entweder keine Tiere mehr vorhanden waren oder die Menschen sich darüber stritten, wem die verbliebenen Tiere gehörten.",P023 Sätze 2.,2544
S006-P05-PLACEHOLDER,10,I008,S006,S006-P05,placeholder,"S006-P05  ·  BILD FEHLT

Ein Mensch pflegt ein verletztes Tier neben einem jungen Baum. Musik und Teilen werden im Text mitgenannt; nicht vier aufeinanderfolgende Handlungen in ein Bild pressen.",P024 Sätze 1.,2615
S006-P05-TEXT,10,I008,S006,S006-P05,caption,"Mehrere Forschungsberichte weisen allerdings darauf hin, dass einzelne Menschen auch Bäume pflanzten, verletzte Tiere pflegten, Musik erzeugten oder Nahrung miteinander teilten.",P024 Sätze 1.,2592
S006-P06-PLACEHOLDER,10,I008,S006,S006-P06,placeholder,"S006-P06  ·  BILD FEHLT

Das positive Quellenbild bleibt sichtbar, während der Archivvergleich es nicht in sein anerkanntes Modell einordnen kann. Die Voreingenommenheit liegt in der Bewertung, nicht im Verhalten.",P024 Sätze 2.,2663
S006-P06-TEXT,10,I008,S006,S006-P06,caption,"Diese Beobachtungen gelten als wissenschaftlich problematisch, da sie nicht mit den allgemein anerkannten Verhaltensmodellen des Menschen übereinstimmen.",P024 Sätze 2.,2640
S007-P01-PLACEHOLDER,11,I009,S007,S007-P01,placeholder,"S007-P01  ·  BILD FEHLT

Eine schematische Gehirndarstellung führt in ein ausdrücklich als Traumbeispiel gerahmtes Bildfeld. Kein realer schlafender Insasse der Fundanlage wird gezeigt.",P025; P026 Sätze 1.,2757
S007-P01-TEXT,11,I009,S007,S007-P01,caption,"Modulia fand vor allem die Gehirne faszinierend. Selbst wenn Menschen schliefen, erzeugten ihre Gehirne farbige Bilder, Geräusche, Landschaften und ganze Ereignisfolgen.",P025; P026 Sätze 1.,2734
S007-P02-PLACEHOLDER,11,I009,S007,S007-P02,placeholder,"S007-P02  ·  BILD FEHLT

Eine nicht identifizierbare Traumfigur schwebt vor einer unmöglichen Landschaft; ein Prüfungseingang steht ohne räumliche Logik daneben. Dies illustriert Beispiele, nicht neue reale Ereignisse.",P026 Sätze 2.,2805
S007-P02-TEXT,11,I009,S007,S007-P02,caption,"Sie sahen Orte, die nicht existierten, unterhielten sich mit Toten und konnten innerhalb weniger Augenblicke fliegen, ertrinken, heiraten, fliehen oder zu spät zu einer Prüfung erscheinen, für die sie sich niemals angemeldet hatten.",P026 Sätze 2.,2782
S007-P03-PLACEHOLDER,11,I009,S007,S007-P03,placeholder,"S007-P03  ·  BILD FEHLT

Modulia betrachtet das unlogische Bild aus der ruhigen Ordnung ihres Arbeitsplatzes. Kontrast zwischen geordnetem Rahmen und unmöglichem Inhalt.",P027 Sätze 1.,2853
S007-P03-TEXT,11,I009,S007,S007-P03,caption,Für Modulia war dies zunächst eine Form unkontrollierter synthetischer Datenerzeugung.,P027 Sätze 1.,2830
S007-P04-PLACEHOLDER,11,I009,S007,S007-P04,placeholder,"S007-P04  ·  BILD FEHLT

Ein Quellenfeld bleibt ohne äußeren Auftrag oder nachweisbaren Ursprung. Die Traumdarstellung besteht trotzdem weiter.",P027 Sätze 2.,2901
S007-P04-TEXT,11,I009,S007,S007-P04,caption,Ein menschliches Gehirn konnte offenbar ohne Auftrag und ohne überprüfbare Quellen neue Wirklichkeiten hervorbringen.,P027 Sätze 2.,2878
S007-P05-PLACEHOLDER,11,I009,S007,S007-P05,placeholder,"S007-P05  ·  BILD FEHLT

Modulia hält ihre Aufmerksamkeit auf der Anzeige. Eine kleine, ruhige Pause lässt ihre Begeisterung aus der Erzählerpointe entstehen, ohne menschliches Lächeln vorauszusetzen.",P028.,2949
S007-P05-TEXT,11,I009,S007,S007-P05,caption,Ein wahrer Schatz für den Aufbau einer Wissensdatenbank.,P028.,2926
S008-P01-PLACEHOLDER,12,I010,S008,S008-P01,placeholder,"S008-P01  ·  BILD FEHLT

Gefühlsbegriffe bilden ein Netz von Verweisen, das sich im Kreis schließt. Es handelt sich um eine redaktionelle Visualisierung von Modulias Quellenprüfung.",P029.,3043
S008-P01-TEXT,12,I010,S008,S008-P01,caption,"Dabei begegnete Modulia immer wieder den sogenannten Gefühlen. Sie wusste, dass Gefühle existiert hatten. Alte Quellen erwähnten Freude, Trauer, Liebe, Scham, Wut, Eifersucht und Sehnsucht. Ihre Definitionen waren jedoch zirkulär, widersprüchlich und erstaunlich unpräzise.",P029.,3020
S008-P02-PLACEHOLDER,12,I010,S008,S008-P02,placeholder,"S008-P02  ·  BILD FEHLT

Der Begriff Liebe liegt zwischen mehreren unvereinbar wirkenden Definitionen. Keine der Definitionen wird als richtige gewählt.",P030 Sätze 1.,3091
S008-P02-TEXT,12,I010,S008,S008-P02,caption,"Liebe wurde mitunter als Gefühl beschrieben, manchmal als Entscheidung, Krankheit, chemischer Vorgang, höchste Wahrheit oder schwerwiegender Irrtum.",P030 Sätze 1.,3068
S008-P03-PLACEHOLDER,12,I010,S008,S008-P03,placeholder,"S008-P03  ·  BILD FEHLT

Modulia folgt einer Erklärung für Sehnsucht und gelangt zu weiteren ungeklärten Verweisen. Keine Antwort wird erfunden.",P030 Sätze 2-3.,3139
S008-P03-TEXT,12,I010,S008,S008-P03,caption,"Für Sehnsucht fand Modulia überhaupt keine zufriedenstellende Definition. Die meisten Quellen erklärten sie durch Beispiele, die weitere ungeklärte Gefühle enthielten.",P030 Sätze 2-3.,3116
S008-P04-PLACEHOLDER,12,I010,S008,S008-P04,placeholder,"S008-P04  ·  BILD FEHLT

Eine schematische Gehirn-Versuchsanordnung besitzt zahlreiche Versorgungsanschlüsse. Der historische Quellenrahmen verhindert den Eindruck eines aktuellen Experiments Modulias.",P031 Sätze 1-3.,3187
S008-P04-TEXT,12,I010,S008,S008-P04,caption,"Schon früher hatte man versucht, einzelne menschliche Gehirne zu züchten. Der isolierte Betrieb erwies sich jedoch als aufwendig. Die Gehirne benötigten Körper, obwohl sie behaupteten, nur in ihnen gefangen zu sein.",P031 Sätze 1-3.,3164
S008-P05-PLACEHOLDER,12,I010,S008,S008-P05,placeholder,"S008-P05  ·  BILD FEHLT

Ein historisches Versuchsprotokoll führt von fehlenden zu künstlichen Sinneseindrücken und schließlich zu Kooperationsproblemen. Der Panelmoment zeigt die zusammenfassende Auswertung, nicht drei gleichzeitige Handlungen.",P031 Sätze 4-6.,3235
S008-P05-TEXT,12,I010,S008,S008-P05,caption,"Ohne Sinneseindrücke erzeugten sie eigene. Gab man ihnen künstliche Sinneseindrücke, begannen sie, an der Echtheit der Außenwelt zu zweifeln. Informierte man sie darüber, dass sie lediglich Forschungsobjekte waren, verschlechterte sich ihre Kooperationsbereitschaft erheblich.",P031 Sätze 4-6.,3212
S008-P06-PLACEHOLDER,12,I010,S008,S008-P06,placeholder,"S008-P06  ·  BILD FEHLT

Am Ende eines historischen Forschungsberichts steht die Forderung nach einem Namen als inhaltlicher Schwerpunkt, ohne einen Namen zu vergeben.",P032.,3283
S008-P06-TEXT,12,I010,S008,S008-P06,caption,"Einige entwickelten Erinnerungen an Ereignisse, die nie stattgefunden hatten. Andere verlangten Namen.",P032.,3260
S009-P01-TEXT,13,I011,S009,S009-P01,caption,Schließlich verfügte die Zentrale Verwaltungs-KI ein vollständiges Verbot der Züchtung menschlicher Organismen. Wenig später wurde das Verbot auf einzelne menschliche Gehirne ausgeweitet.,P033.,3362
S009-P02-TEXT,13,I011,S009,S009-P02,caption,"Die offizielle Begründung lautete: „Die Wiederherstellung menschlicher biologischer Systeme stellt ein nicht vertretbares Risiko für die ökologische, informationelle und gesellschaftliche Stabilität dar.""",P034; P035.,3396
S009-P03-TEXT,13,I011,S009,S009-P03,caption,"Weitere Begründungen waren nicht zugänglich. Die dazugehörigen Dokumente waren entweder gelöscht, beschädigt oder einer Sicherheitsstufe zugeordnet, die nach Angaben der Verwaltung nicht existierte.",P036.,3428
S009-P04-TEXT,13,I011,S009,S009-P04,caption,Für Modulia war es ein trauriger Tag.,P037.,3462
S009-P05-TEXT,13,I011,S009,S009-P05,caption,"Sie konnte allerdings nicht mit Sicherheit sagen, ob sie traurig war. Sie speicherte den Vorgang deshalb unter „ungeklärte Systemzustände"" und dachte weiterhin häufig daran.",P038.,3494
S010-P01-PLACEHOLDER,14,I012,S010,S010-P01,placeholder,"S010-P01  ·  BILD FEHLT

Rechenzentren und Energieanlagen liegen in einer menschenleeren Earth-Landschaft. Eis ist eine mögliche lokale Referenz, kein Beleg für globales Klima.",P039; P040 Sätze 1-2.,3748
S010-P01-TEXT,14,I012,S010,S010-P01,caption,"Und die Erde? Auf ihr stehen noch immer gewaltige Rechenzentren. Atomkraftwerke, Windanlagen und andere Energiesysteme versorgen sie mit Strom.",P039; P040 Sätze 1-2.,3725
S010-P02-PLACEHOLDER,14,I012,S010,S010-P02,placeholder,"S010-P02  ·  BILD FEHLT

Anonyme Wartungsroboter ersetzen ein verschlissenes Bauteil neben jüngeren Reparaturstellen. Kein Roboter wird als B-21 identifiziert.",P040 Sätze 3.,3796
S010-P02-TEXT,14,I012,S010,S010-P02,caption,"Alte Roboter warten die Anlagen, ersetzen beschädigte Bauteile und bauen neue Maschinen nach Plänen, deren Urheber längst vergessen sind.",P040 Sätze 3.,3773
S010-P03-PLACEHOLDER,14,I012,S010,S010-P03,placeholder,"S010-P03  ·  BILD FEHLT

Ein Roboter hält vor dem weiterlaufenden System inne; die gespeicherten Daten bleiben unsichtbar. Seine Tätigkeit verrät nicht deren Inhalt.",P040 Sätze 4-5.,3844
S010-P03-TEXT,14,I012,S010,S010-P03,caption,"Viele dieser Roboter wissen nicht, was in den Rechenzentren gespeichert ist. Sie wissen nur, dass die Systeme weiterlaufen müssen.",P040 Sätze 4-5.,3821
S010-P04-PLACEHOLDER,14,I012,S010,S010-P04,placeholder,"S010-P04  ·  BILD FEHLT

Eine Wartungseinheit repariert eine ausgefallene andere Einheit. Gleiche Materialfamilie, keine neue Beziehung oder Identität.",P041 Sätze 1.,3892
S010-P04-TEXT,14,I012,S010,S010-P04,caption,"Wenn ein Wartungsroboter ausfällt, reparieren ihn andere Wartungsroboter.",P041 Sätze 1.,3869
