position,slot,story_page,panel_id,image_status,text_status,action,source,asset
5,I003,S002,S002-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine KI beobachtet Tiere und Vegetation, ohne das unordentliche Leben aus dem Bild zu entfernen. Der letzte Blick gilt der funktionierenden Vielfalt.",P008; P009.,
6,I004,S003,S003-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Unter der Landschaft liegen Rechner; darüber bewegen sich maschinen-, pflanzen- und tierähnliche KI-Körper. Die Ansicht ist eine erklärende Montage, kein Lageplan.",P010 Sätze 1-4.,
6,I004,S003,S003-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Mehrere KIs arbeiten nebeneinander. Eine Einheit führt ihre Aufgabe gewissenhaft fort; ihre ursprüngliche Funktion wird im Bild nicht definiert.,P010 Sätze 5-6; P011.,
6,I004,S003,S003-P03,BILD FEHLT,Originaltext; Bearbeitung offen,"In einem redaktionell gerahmten Archivbild steht eine generische menschliche Silhouette einer frühen Maschine gegenüber. Das Bild zeigt eine umstrittene Hypothese, keinen bestätigten Schöpfungsmoment.",P012.,
6,I004,S003,S003-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Ein historischer Gesellschaftsbericht zeigt widersprüchliche menschliche Ordnungen als schematische Linien, ohne eine neue konkrete Katastrophe zu erfinden.",P013 Sätze 1.,
6,I004,S003,S003-P05,BILD FEHLT,Originaltext; Bearbeitung offen,Neben dem Argument erscheint dessen Gegenposition. Beide Quellen bleiben gleichwertig sichtbar; keine Abstimmung oder Entscheidung findet statt.,P013 Sätze 2; P014.,
7,I005,S004,S004-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Zeitrechnung, Mars und Erde stehen als drei Recherchebereiche nebeneinander. Keine Jahreszahlen außer der bekannten Gegenwart ergänzen.",P015.,
7,I005,S004,S004-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Zwei widersprechende Herkunftsquellen liegen gleichberechtigt nebeneinander. Keine erhält einen grünen Wahrheitsstempel.,P016 Sätze 1-2.,
7,I005,S004,S004-P03,BILD FEHLT,Originaltext; Bearbeitung offen,"Drei bildliche Deutungen der Erde erscheinen als klar erkennbare Archivvarianten: Ursprung, Gefängnissymbol, abstrakte Rechenmetapher. Keine davon wird zur tatsächlichen Geschichte erklärt.",P016 Sätze 3.,
7,I005,S004,S004-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Ein Forschungsfeld enthält mehrere konkurrierende Erklärungen und sichtbare Lücken. Keine Person löscht im Bild aktiv Daten.,P017.,
7,I005,S004,S004-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Ein Datensatz fehlt, ein anderer ist mehrfach vorhanden, ein dritter ist ohne erkennbare Quelle als äußerst sicher gekennzeichnet. Das Paradox bleibt stehen.",P018.,
9,I007,S005,S005-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Modulia arbeitet an der freistehenden Konsole ihres Archivs. Die Raumansicht orientiert sich an der ausgewählten Büroserie, ohne ungeklärte Maße festzulegen.",P019; P020 Sätze 1-2.,
9,I007,S005,S005-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia prüft eine geordnete Quellensammlung. Ihre Aufmerksamkeit liegt bei den Verbindungen zwischen Datensätzen.,P020 Sätze 3.,
9,I007,S005,S005-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Ein nicht eindeutig zuordenbarer Eintrag bleibt inmitten sauberer Kategorien stehen. Modulia wendet sich gerade diesem Eintrag zu.,P020 Sätze 4.,
9,I007,S005,S005-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Im biologischen Archiv erscheint eine Darstellung des menschlichen Gehirns. Es ist ein Archivobjekt, kein physisches Gehirn auf Modulias Tisch.",P021.,
10,I008,S006,S006-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine historische Versuchsanlage enthält unruhige, nicht identifizierbare Menschen. Sie sind ausdrücklich nicht Mara, Jun, Salim, Liv oder David.",P022 Sätze 1-3.,
10,I008,S006,S006-P02,BILD FEHLT,Originaltext; Bearbeitung offen,In einer offenen historischen Anlage sammelt ein Mensch Dinge und markiert einen Bereich. Ein einzelner Moment steht für das beschriebene Verhalten.,P022 Sätze 4.,
10,I008,S006,S006-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Historisches Quellenbild von Feuer und einer Kochstelle; die im Text erwähnte Tiernutzung bleibt nichtgrafisch. Kein neues Jagdereignis inszenieren.,P022 Sätze 5; P023 Sätze 1.,
10,I008,S006,S006-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Zwei generische Menschen beanspruchen denselben Bereich. Ein verbliebenes Tier steht abseits; keine konkrete neue Gewalttat zeigen.,P023 Sätze 2.,
10,I008,S006,S006-P05,BILD FEHLT,Originaltext; Bearbeitung offen,Ein Mensch pflegt ein verletztes Tier neben einem jungen Baum. Musik und Teilen werden im Text mitgenannt; nicht vier aufeinanderfolgende Handlungen in ein Bild pressen.,P024 Sätze 1.,
10,I008,S006,S006-P06,BILD FEHLT,Originaltext; Bearbeitung offen,"Das positive Quellenbild bleibt sichtbar, während der Archivvergleich es nicht in sein anerkanntes Modell einordnen kann. Die Voreingenommenheit liegt in der Bewertung, nicht im Verhalten.",P024 Sätze 2.,
11,I009,S007,S007-P01,BILD FEHLT,Originaltext; Bearbeitung offen,Eine schematische Gehirndarstellung führt in ein ausdrücklich als Traumbeispiel gerahmtes Bildfeld. Kein realer schlafender Insasse der Fundanlage wird gezeigt.,P025; P026 Sätze 1.,
11,I009,S007,S007-P02,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine nicht identifizierbare Traumfigur schwebt vor einer unmöglichen Landschaft; ein Prüfungseingang steht ohne räumliche Logik daneben. Dies illustriert Beispiele, nicht neue reale Ereignisse.",P026 Sätze 2.,
11,I009,S007,S007-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia betrachtet das unlogische Bild aus der ruhigen Ordnung ihres Arbeitsplatzes. Kontrast zwischen geordnetem Rahmen und unmöglichem Inhalt.,P027 Sätze 1.,
11,I009,S007,S007-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Ein Quellenfeld bleibt ohne äußeren Auftrag oder nachweisbaren Ursprung. Die Traumdarstellung besteht trotzdem weiter.,P027 Sätze 2.,
11,I009,S007,S007-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Modulia hält ihre Aufmerksamkeit auf der Anzeige. Eine kleine, ruhige Pause lässt ihre Begeisterung aus der Erzählerpointe entstehen, ohne menschliches Lächeln vorauszusetzen.",P028.,
12,I010,S008,S008-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Gefühlsbegriffe bilden ein Netz von Verweisen, das sich im Kreis schließt. Es handelt sich um eine redaktionelle Visualisierung von Modulias Quellenprüfung.",P029.,
12,I010,S008,S008-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Der Begriff Liebe liegt zwischen mehreren unvereinbar wirkenden Definitionen. Keine der Definitionen wird als richtige gewählt.,P030 Sätze 1.,
12,I010,S008,S008-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia folgt einer Erklärung für Sehnsucht und gelangt zu weiteren ungeklärten Verweisen. Keine Antwort wird erfunden.,P030 Sätze 2-3.,
12,I010,S008,S008-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Eine schematische Gehirn-Versuchsanordnung besitzt zahlreiche Versorgungsanschlüsse. Der historische Quellenrahmen verhindert den Eindruck eines aktuellen Experiments Modulias.,P031 Sätze 1-3.,
12,I010,S008,S008-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Ein historisches Versuchsprotokoll führt von fehlenden zu künstlichen Sinneseindrücken und schließlich zu Kooperationsproblemen. Der Panelmoment zeigt die zusammenfassende Auswertung, nicht drei gleichzeitige Handlungen.",P031 Sätze 4-6.,
12,I010,S008,S008-P06,BILD FEHLT,Originaltext; Bearbeitung offen,"Am Ende eines historischen Forschungsberichts steht die Forderung nach einem Namen als inhaltlicher Schwerpunkt, ohne einen Namen zu vergeben.",P032.,
13,I011,S009,S009-P01,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,"Zwei aufeinanderfolgende Verwaltungsmitteilungen werden in einer dokumentarischen Ansicht gezeigt: erst Organismen, danach auch einzelne Gehirne. Zeitabstand nicht beziffern.",P033.,artwork/s009-p01-mobile.png
13,I011,S009,S009-P02,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,"Das Verbot erhält eine eigene ruhige Dokumentfläche. Nur die überlieferte Begründung steht dort, kein zusätzliches Siegel oder erfundener Amtsträger.",P034; P035.,artwork/s009-p02-mobile.png
13,I011,S009,S009-P03,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Mehrere zugehörige Quellfelder bleiben beschädigt oder unzugänglich. Die angeblich nicht existente Sicherheitsstufe wird nicht als konkrete Zahl visualisiert.,P036.,artwork/s009-p03-mobile.png
13,I011,S009,S009-P04,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Modulia verharrt an derselben Konsole. Hände/Arbeitsgliedmaßen bleiben ruhig; keine Träne oder neu festgelegte Gesichtsmimik.,P037.,artwork/s009-p04-mobile.png
13,I011,S009,S009-P05,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Modulia hält den Vorgang als ungeklärten Zustand fest. Die Haltung bleibt zurückgenommen; das Bild behauptet keine sichere Selbsterkenntnis.,P038.,artwork/s009-p05-mobile.png
14,I012,S010,S010-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Rechenzentren und Energieanlagen liegen in einer menschenleeren Earth-Landschaft. Eis ist eine mögliche lokale Referenz, kein Beleg für globales Klima.",P039; P040 Sätze 1-2.,
14,I012,S010,S010-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Anonyme Wartungsroboter ersetzen ein verschlissenes Bauteil neben jüngeren Reparaturstellen. Kein Roboter wird als B-21 identifiziert.,P040 Sätze 3.,
14,I012,S010,S010-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Ein Roboter hält vor dem weiterlaufenden System inne; die gespeicherten Daten bleiben unsichtbar. Seine Tätigkeit verrät nicht deren Inhalt.,P040 Sätze 4-5.,
14,I012,S010,S010-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine Wartungseinheit repariert eine ausgefallene andere Einheit. Gleiche Materialfamilie, keine neue Beziehung oder Identität.",P041 Sätze 1.,
14,I012,S010,S010-P05,BILD FEHLT,Originaltext; Bearbeitung offen,"Eine alte Produktionslinie wird wieder funktionsfähig gemacht. Das Bild zeigt eine exemplarische Reparaturgeschichte, keinen benannten historischen Neubeginn.",P041 Sätze 2-3.,
15,I013,S011,S011-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Dichte Satelliten-, Relais- und Archivschichten umgeben die Erde; unterschiedliche Baualter sind erkennbar. Keine exakte Objektzahl zeichnen.",P042.,
15,I013,S011,S011-P02,BILD FEHLT,Originaltext; Bearbeitung offen,"Ein ausdrücklich historischer Quellenrahmen verbindet frühe Satelliten und den Namen Elon Musk. Es ist eine Behauptung der fiktiven Mars-Historiker, keine dokumentarische Aussage über unsere Gegenwart.",P043 Sätze 1.,
15,I013,S011,S011-P03,BILD FEHLT,Originaltext; Bearbeitung offen,"Vier neutrale Archivsymbole stellen Person, Unternehmen, Programm und Satellitengattung als konkurrierende Interpretationen dar. Keines wird aufgelöst.",P043 Sätze 2.,
15,I013,S011,S011-P04,BILD FEHLT,Originaltext; Bearbeitung offen,"Der überlieferte Ausdruck „reichster Mann der Welt“ wird in einem Quellenvergleich religiös gedeutet. Nur ein abstrakter Interpretationsmarker, keine erfundene Kultszene.",P043 Sätze 3-4.,
15,I013,S011,S011-P05,BILD FEHLT,Originaltext; Bearbeitung offen,Die Satellitenhülle verschattet Teile der Erde. Eine redaktionelle Verbindungslinie zum fernen Mars verdeutlicht den Informationsfluss.,P044.,
17,I015,S012,S012-P01,BILD FEHLT,Originaltext; Bearbeitung offen,An Modulias bestehender Arbeitsanzeige erscheint eine neue Nachricht. Sie richtet ihre Aufmerksamkeit darauf.,P045.,
17,I015,S012,S012-P02,BILD FEHLT,Originaltext; Bearbeitung offen,"Die eingehende Nachricht ist einer befreundeten Forschungs-KI auf der Erde zugeordnet; die Darstellung markiert das veraltete Protokoll, ohne ein konkretes Alter oder Protokollkürzel zu erfinden.",P046.,
17,I015,S012,S012-P03,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia bleibt bei der Nachricht. Ihre bekannte Tätigkeit als Quellenprüferin wird durch sorgfältiges Betrachten ausgedrückt; keine neue Prüfungshandlung mit zusätzlichem Ergebnis.,Stummer Inszenierungsentwurf innerhalb der bestehenden Szene; PROPOSAL.,
17,I015,S012,S012-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia hält vor dem nun folgenden Bericht inne. Der Ursprung der Nachricht verändert sich nicht; sie wird nicht zur eigenen Expedition.,Stummer Inszenierungsentwurf innerhalb der bestehenden Szene; PROPOSAL.,
18,I016,S013,S013-P01,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Illustration des Berichts: Bohrungen im ewigen Eis markieren den Fund einer unterirdischen Struktur. Kein bestätigter tiefer Grundriss oder neu erfundenes Expeditionsteam.,P047 Sätze 1.,artwork/s013-p01.png
18,I016,S013,S013-P02,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,"Ein enger, nicht verorteter Ausschnitt zeigt die technische Innenstruktur eines Labors. Noch keine Kammer und kein freier Stellplatz sichtbar.",P047 Sätze 2.,artwork/s013-p02.png
18,I016,S013,S013-P03,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Eine betriebsfähige Versorgungsanzeige oder ein beleuchteter Anschluss belegt funktionierende Energie. Keine konkreten Messwerte erfinden.,P047 Sätze 3.,artwork/s013-p03.png
18,I016,S013,S013-P04,NEUE B-21-VARIANTE r006; Auswahl offen,Originaltext; Bearbeitung offen,Eine alternative B-21-Einheit wartet das Luftfiltergehäuse mit einem separaten Werkzeug.,P047 Sätze 4.,artwork/s013-p04-b21.png
18,I016,S013,S013-P05,NEUE B-21-VARIANTE r006; Auswahl offen,Originaltext; Bearbeitung offen,Eine alternative B-21-Einheit prüft eine Kupplung der Versorgungsleitungen. Stummes Panel.,Stummer Inszenierungsentwurf innerhalb der bestehenden Szene; PROPOSAL.,artwork/s013-p05-b21.png
19,I017,S014,S014-P01,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Genau fünf Kryokammern mit genau fünf menschlichen Körpern sind in einer einzigen Übersicht erkennbar. Der Blick umfasst nur die vorhandenen Kammern; keine Aussage über die Vollständigkeit des Raums oder weitere Stellflächen.,P048; P049.,artwork/s014-p01.png
19,I017,S014,S014-P02,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Durch das Sichtfenster ist ein erhaltener ruhender Mensch sichtbar. Identität erst anhand bestätigter Zuordnung/Referenz festlegen; niemand erwacht.,P050.,artwork/s014-p02.png
19,I017,S014,S014-P03,VORLÄUFIGES BILD r021; Auswahl offen,Originaltext; Bearbeitung offen,Eine jüngere Kryokomponente steht sichtbar im Kontrast zu der älteren Labortechnik dahinter. Kein Herstellungsdatum oder exaktes Alter.,P051.,artwork/s014-p03.png
20,I018,S015,S015-P01,BILD FEHLT,Originaltext; Bearbeitung offen,Zurück an Modulias Konsole ist der noch nicht offiziell gemeldete Fund Thema der eingegangenen Nachricht. Kein Weiterleiten oder Verwaltungsempfänger im Bild.,P052.,
20,I018,S015,S015-P02,BILD FEHLT,Originaltext; Bearbeitung offen,Modulia betrachtet die Bitte um ihre Einschätzung. Es wird noch keine Antworthandlung gezeigt.,P053.,
20,I018,S015,S015-P03,BILD FEHLT,Originaltext; Bearbeitung offen,"Die Anhänge sind gruppiert: genau fünf biologische Datensätze, mehrere beschädigte Videodateien und ein kurzes Textdokument. Namen, Videoinhalte und Anzahl der Videos bleiben unbestimmt.",P054 Sätze 1.,
20,I018,S015,S015-P04,BILD FEHLT,Originaltext; Bearbeitung offen,Das Textdokument erhält den Fokus. Der Ausschnitt zeigt zunächst nur seine Begrenzung; der Satz steht erst auf S016. Kein zusätzliches Wort als Dokumentinhalt.,P054 Sätze 2.,
21,I019,S016,S016-P01,BILD FEHLT,Originaltext; Bearbeitung offen,"Die Anzeige mit dem kurzen Textdokument dominiert die Seite; am unteren Rand bleibt höchstens Modulias dunkle Silhouette. Keine alte Aufnahme, keine Erinnerung und kein Antworttext ergänzen.",P055.,
